n_words,n_words_total,speed,time,participant
22.0,356.0,On_pace,1556584025525,Colin
20.0,376.0,On_pace,1556584027567,Colin
14.0,390.0,On_pace,1556584029607,Colin
17.0,407.0,On_pace,1556584031715,Colin
22.0,429.0,On_pace,1556584033887,Colin
21.0,450.0,On_pace,1556584035929,Colin
21.0,471.0,On_pace,1556584037968,Colin
23.0,494.0,Fast,1556584040010,Colin
12.0,506.0,On_pace,1556584042051,Colin
22.0,528.0,On_pace,1556584044093,Colin
7.0,7.0,On_pace,1556568402774,Quentin
32.0,39.0,Fast,1556568404866,Quentin
12.0,51.0,On_pace,1556568408485,Quentin
6.0,57.0,On_pace,1556568410720,Quentin
10.0,67.0,On_pace,1556568418354,Quentin
3.0,70.0,Slow,1556568420544,Quentin
2.0,72.0,Slow,1556568425033,Quentin
3.0,75.0,Slow,1556568436863,Quentin
8.0,83.0,On_pace,1556568440120,Quentin
7.0,90.0,On_pace,1556568448118,Quentin
1.0,1.0,Slow,1556570937671,Alex
50.0,51.0,Fast,1556570939811,Alex
18.0,69.0,On_pace,1556570941933,Alex
17.0,86.0,On_pace,1556570944023,Alex
18.0,104.0,On_pace,1556570946032,Alex
10.0,114.0,On_pace,1556570948039,Alex
23.0,137.0,Fast,1556570950145,Alex
28.0,165.0,Fast,1556570952350,Alex
17.0,182.0,On_pace,1556570954408,Alex
19.0,201.0,On_pace,1556570956564,Alex
17.0,218.0,On_pace,1556570958687,Alex
18.0,236.0,On_pace,1556570960808,Alex
28.0,264.0,Fast,1556570962899,Alex
11.0,275.0,On_pace,1556570964988,Alex
20.0,295.0,On_pace,1556570967081,Alex
27.0,322.0,Fast,1556570969134,Alex
14.0,336.0,On_pace,1556570971240,Alex
17.0,353.0,On_pace,1556570973365,Alex
26.0,379.0,Fast,1556570975667,Alex
22.0,401.0,On_pace,1556570977690,Alex
24.0,425.0,Fast,1556570979701,Alex
13.0,438.0,On_pace,1556570981804,Alex
30.0,468.0,Fast,1556570983878,Alex
16.0,484.0,On_pace,1556570986017,Alex
18.0,502.0,On_pace,1556570988140,Alex
18.0,520.0,On_pace,1556570990198,Alex
25.0,545.0,Fast,1556570992234,Alex
24.0,569.0,Fast,1556570994374,Alex
17.0,586.0,On_pace,1556570996480,Alex
1.0,1.0,Slow,1556570075163,Erina
40.0,41.0,Fast,1556570077217,Erina
18.0,59.0,On_pace,1556570079304,Erina
18.0,77.0,On_pace,1556570081690,Erina
16.0,93.0,On_pace,1556570083861,Erina
14.0,107.0,On_pace,1556570086048,Erina
21.0,128.0,On_pace,1556570088090,Erina
