15.0,15.0,On_pace,1556915718474
19.0,34.0,On_pace,1556915720512
22.0,56.0,Fast,1556915722569
12.0,68.0,On_pace,1556915724611
17.0,85.0,On_pace,1556915726648
17.0,102.0,On_pace,1556915728689
17.0,119.0,On_pace,1556915730811
16.0,135.0,On_pace,1556915732901
21.0,156.0,Fast,1556915734939
20.0,176.0,Fast,1556915737112
17.0,193.0,On_pace,1556915741849
11.0,204.0,On_pace,1556915743937
19.0,223.0,On_pace,1556915746043
18.0,241.0,On_pace,1556915748082
15.0,256.0,On_pace,1556915750124
16.0,272.0,On_pace,1556915752136
12.0,284.0,On_pace,1556915754400
17.0,301.0,On_pace,1556915756455
20.0,321.0,Fast,1556915758594
11.0,332.0,On_pace,1556915760633
14.0,346.0,On_pace,1556915762723
19.0,365.0,On_pace,1556915764845
19.0,384.0,On_pace,1556915766884
15.0,399.0,On_pace,1556915768940
17.0,416.0,On_pace,1556915771012
17.0,433.0,On_pace,1556915773249
14.0,447.0,On_pace,1556915775288
23.0,470.0,Fast,1556915777345
15.0,485.0,On_pace,1556915779615
17.0,502.0,On_pace,1556915781721
19.0,521.0,On_pace,1556915783776
17.0,538.0,On_pace,1556915785816
21.0,559.0,Fast,1556915787838
13.0,572.0,On_pace,1556915789894
21.0,593.0,Fast,1556915792016
