15.0,15.0,On_pace,1556912445833
18.0,33.0,On_pace,1556912447869
21.0,54.0,Fast,1556912449922
19.0,73.0,On_pace,1556912454657
12.0,85.0,On_pace,1556912456710
15.0,100.0,On_pace,1556912459093
14.0,114.0,On_pace,1556912461263
19.0,133.0,On_pace,1556912463301
18.0,151.0,On_pace,1556912465469
19.0,170.0,On_pace,1556912467507
14.0,184.0,On_pace,1556912472555
11.0,195.0,On_pace,1556912474706
21.0,216.0,Fast,1556912476810
9.0,225.0,On_pace,1556912478862
13.0,238.0,On_pace,1556912481016
14.0,252.0,On_pace,1556912483301
17.0,269.0,On_pace,1556912485454
11.0,280.0,On_pace,1556912487574
11.0,291.0,On_pace,1556912489611
14.0,305.0,On_pace,1556912491666
12.0,317.0,On_pace,1556912493818
14.0,331.0,On_pace,1556912496827
13.0,344.0,On_pace,1556912498929
18.0,362.0,On_pace,1556912500967
17.0,379.0,On_pace,1556912503137
15.0,394.0,On_pace,1556912505207
13.0,407.0,On_pace,1556912507227
15.0,422.0,On_pace,1556912511631
21.0,443.0,Fast,1556912514065
10.0,453.0,On_pace,1556912518930
10.0,463.0,On_pace,1556912522971
10.0,473.0,On_pace,1556912525848
19.0,492.0,On_pace,1556912528146
10.0,502.0,On_pace,1556912530235
9.0,511.0,On_pace,1556912532272
18.0,529.0,On_pace,1556912534310
