22.0,22.0,Fast,1556978329178
20.0,42.0,Fast,1556978331266
23.0,65.0,Fast,1556978333439
18.0,83.0,On_pace,1556978335528
17.0,100.0,On_pace,1556978337634
13.0,113.0,On_pace,1556978339905
18.0,131.0,On_pace,1556978341979
20.0,151.0,Fast,1556978344003
17.0,168.0,On_pace,1556978346043
24.0,192.0,Fast,1556978351162
16.0,208.0,On_pace,1556978353316
17.0,225.0,On_pace,1556978355423
22.0,247.0,Fast,1556978357461
16.0,263.0,On_pace,1556978359633
21.0,284.0,Fast,1556978364076
16.0,300.0,On_pace,1556978366116
17.0,317.0,On_pace,1556978368222
5.0,322.0,Slow,1556978370330
17.0,339.0,On_pace,1556978372417
16.0,355.0,On_pace,1556978374524
21.0,376.0,Fast,1556978376613
18.0,394.0,On_pace,1556978378786
17.0,411.0,On_pace,1556978381055
19.0,430.0,On_pace,1556978383160
15.0,445.0,On_pace,1556978385397
13.0,458.0,On_pace,1556978387487
21.0,479.0,Fast,1556978389527
6.0,485.0,On_pace,1556978391715
18.0,503.0,On_pace,1556978393805
19.0,522.0,On_pace,1556978395895
17.0,539.0,On_pace,1556978397984
